issue_id,model,title,status,family,sharpe,metric_path
AR-028,closing-volume-reversal-megacap-v1,Divergent from AR-009: abnormal closing-volume reversal,watchlist,liquidity_reversal,1.5511248,random_windows.summary.median_sharpe
AR-015,tsmom-voltarget-liquid-etf-randomcost-v1,Refine AR-003: random-window and cost-haircut validation for ETF TSMOM,watchlist,time_series_momentum,1.21599641,metrics.sharpe
AR-003,tsmom-voltarget-liquid-etf-weekly-v1,Volatility-targeted time-series momentum on liquid ETFs,watchlist,time_series_momentum,1.21599641,metrics.sharpe
AR-018,overnight-gap-reversal-event-megacap-v1,Divergent from AR-004: mega-cap overnight gap reversal,rejected,mean_reversion,1.15561986,metrics.sharpe
AR-072,macro-drawdown-beta-redundancy-constrained-v1,Refine AR-063: beta and redundancy constrained macro drawdown allocator,rejected,macro_regime_allocation,1.03872587,metrics.primary_qfa_pre_cost.sharpe
AR-063,macro-surprise-drawdown-etf-allocator-v1,Divergent from AR-051: macro-surprise drawdown-state ETF allocator,watchlist,macro_regime_allocation,0.98361468,metrics.primary_qfa_pre_cost.sharpe
AR-042,macro-liquidity-flow-etf-v1,Divergent from AR-021: scheduled macro/liquidity ETF flow pressure,rejected,macro_flow,0.896267885,computed_median_random_window_cost_or_nonprecost_sharpe
AR-045,closing-volume-reversal-costaware-megacap-v1,Refinement from AR-028: cost-aware abnormal close-location reversal,watchlist,liquidity_reversal,0.85504813,primary_metrics_pre_cost.sharpe
AR-059,etf-defensive-momentum-carry-rotation-v1,Divergent from AR-046: ETF defensive momentum carry rotation,rejected,cross_asset_rotation,0.85049833,metrics.primary_qfa_pre_cost.sharpe
AR-014,event-earnings-drift-megacap-20d-v1,Divergent from AR-001: mega-cap post-earnings drift signal,rejected,event_drift,0.83975742,random_period_protocol.median_sharpe
AR-008,risk-off-crossasset-switch-v1,Cross-asset risk-off regime switch,watchlist,regime_allocation,0.78756489,qfa_result.metrics.sharpe
AR-016,xsec-etf-defensive-rotation-v1,Divergent from AR-003: cross-sectional ETF defensive rotation,watchlist,regime_allocation,0.73896,random_period_protocol.median_sharpe
AR-039,xsec-etf-defensive-rotation-costmonthly-v1,Refine AR-016: cost-aware monthly ETF defensive rotation,watchlist,regime_allocation,0.64744015,metrics.cost_adjusted.sharpe
AR-037,etf-carry-defensive-allocation-v1,Divergent from AR-015: liquid ETF carry/defensive allocation,watchlist,cross_asset_carry_defensive,0.60892376,random_windows.summary.median_sharpe
AR-041,turn-month-vol-gated-etf-v1,Refine AR-021: volatility-gated turn-of-month ETF seasonality,rejected,seasonality,0.60669391,primary_metrics_pre_cost.sharpe
AR-051,xsec-etf-defensive-rotation-orthogonal-v1,Refine AR-039: orthogonality-constrained ETF defensive rotation,watchlist,regime_allocation,0.58872054,random_period_protocol.median_cost_adjusted_sharpe
AR-005,pairs-residual-megacap-tech-5d-v1,Residual mean reversion among mega-cap tech pairs,watchlist,stat_arb,0.57877812,metrics.sharpe
AR-056,closing-volume-reversal-orthogonalized-megacap-v1,Refinement from AR-045: orthogonality-constrained close-location reversal,watchlist,liquidity_reversal,0.56265677,computed_median_random_window_cost_or_nonprecost_sharpe
